Country,ISO,SBP,DBP
French Polynesia,PYF,127.39487921951228,78.53796083451223
Gabon,GAB,129.90250401341459,79.38152187146342
Gambia,GMB,130.31144565853654,79.05610608292686
Georgia,GEO,130.17904210365856,80.36366217719512
Germany,DEU,129.7992471292682,79.63083255634145
Ghana,GHA,126.2745643780488,78.50870078841464
Greece,GRC,124.85765639756103,78.19320024280486
Greenland,GRL,130.2908252939024,79.07768612585365
Grenada,GRD,126.7999959463415,77.7783937123171
Guatemala,GTM,121.64303632682926,74.53078957158539
Guinea,GIN,130.38155271585362,78.34466165512194
Guinea Bissau,GNB,128.67351533902442,78.39259580487804
Guyana,GUY,124.1667280585366,76.77283605658536
Haiti,HTI,124.43453337439024,76.88651138817073
Honduras,HND,123.06166537682923,74.51461886439023
Hungary,HUN,132.3914224682927,82.53670186963411
Iceland,ISL,123.46014035609755,76.24407059353658
India,IND,123.60075779756097,78.18346754304876
Indonesia,IDN,125.62897136707319,78.21357230475608
Iran,IRN,122.79302785487802,77.61637983012196
Iraq,IRQ,129.34450847317078,79.67217019414633
Ireland,IRL,128.13928802195122,78.76571891085366
Israel,ISR,125.55636913902438,79.09932064170734
Italy,ITA,128.47141928902445,79.52773906890245
Jamaica,JAM,124.38407196341461,77.99908679036587
Japan,JPN,125.79835419146342,76.1303060804878
Jordan,JOR,123.99568958292683,78.55416134804877
Kazakhstan,KAZ,128.93173185853658,80.45739935743904
Kenya,KEN,125.59481233780492,74.40933517048782
Kiribati,KIR,123.34162593414634,76.31441602634145
Kuwait,KWT,128.9849911207317,81.74155065841465
Kyrgyzstan,KGZ,127.10028401829273,80.00095286817076
Lao PDR,LAO,121.49145572439026,75.65045622731708
Latvia,LVA,132.34924706341462,83.31040893963412
Lebanon,LBN,128.25695547682923,78.74862970475611
Lesotho,LSO,127.11248947073175,79.00954110646342
Liberia,LBR,129.85339760365852,78.8451760462195
Libya,LBY,131.86082695975614,79.56850259036587
Lithuania,LTU,134.1414570573171,84.13570432085365
Luxembourg,LUX,129.98256338048776,80.37104229853661
Macedonia (TFYR),MKD,130.76343671341465,80.95322147134145
Madagascar,MDG,127.70604801341459,77.94828754536584
Malawi,MWI,129.05005140487813,76.75888697268293
Malaysia,MYS,126.53141176951218,77.77624821121954
Maldives,MDV,123.61322676585363,75.80095193292681
Mali,MLI,126.23172921585372,77.65016038
Malta,MLT,130.21414080609756,80.4405878940244
Marshall Islands,MHL,123.48380129999995,74.98424202109754
Mauritania,MRT,130.04200724512194,79.73050196317072
Mauritius,MUS,126.00430788170726,75.54172755939027
Mexico,MEX,125.49927769634154,78.96105658280489
Micronesia (Federated States of),FSM,124.05736980243901,75.35904531060977
Moldova,MDA,130.98182005121947,82.5042890187805
Mongolia,MNG,129.5733485658537,80.63917769402438
Montenegro,MNE,129.92783492682935,80.53713578743907
Morocco,MAR,126.75555152073167,77.67272232329267
Mozambique,MOZ,130.04305474878055,76.95183168743905
Myanmar,MMR,122.54219059634148,75.00267431512195
Namibia,NAM,128.61364975121947,79.41476460304878
