,property_type,price,address,city,code,area,bedrooms,bathrooms,url,agency
0,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
1,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
2,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
3,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
4,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
5,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
6,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
7,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
8,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
9,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
10,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
11,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
12,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
13,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
14,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
15,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
16,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
17,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
18,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
19,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
20,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
21,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
22,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
23,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
24,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
25,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
26,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
27,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
28,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
29,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
30,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
31,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
32,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
33,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
34,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
35,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
36,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
37,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
38,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
39,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
40,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
41,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
42,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
43,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
44,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
45,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
46,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
47,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
48,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
49,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
50,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
51,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
52,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
53,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
54,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
55,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
56,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
57,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
58,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
59,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
60,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
61,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
62,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
63,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
64,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
65,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
66,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
67,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
68,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
69,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
70,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
71,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
72,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
73,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
74,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
75,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
76,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
77,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
78,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
79,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
80,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
81,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
82,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
83,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
84,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
85,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
86,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
87,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
88,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
89,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
90,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
91,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
92,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
93,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
94,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
95,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
96,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
97,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
98,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
99,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
100,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
101,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
102,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
103,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
104,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
105,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
106,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
107,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
108,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
109,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
110,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
111,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
112,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
113,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
114,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
115,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
116,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
